ticket_id,timestamp,customer_id,channel,message,agent_reply,product,order_value,customer_country,resolution_status
6e97f77a-77d4-41c2-86bf-8e8883099d20,2024-06-21 22:43:23,CUST04332,email,The box arrived completely crushed. The item inside might be okay but I'm worried.,,,124.0,UAE,open
693d22b7-0191-4e54-b702-fe59369fc730,2024-11-04 21:12:17,CUST86379,chat,The box arrived completely crushed. The item inside might be okay but I'm worried.,,Gaming Mouse,86.18,Singapore,open
85e27a4e-e95b-4b4d-bd7c-0210b0e591ba,2024-05-24 01:48:56,CUST61559,chat,I never received a shipping confirmation email. My order status just says 'confirmed'.,,Electric Toothbrush,280.5,Mexico,resolved
e379b221-3204-40ee-b91d-e2971ee38a46,2025-07-15 18:43:51,CUST93103,web,The box arrived completely crushed. The item inside might be okay but I'm worried.,,Gaming Mouse,321.49,France,open
0100f4a8-d995-4905-ae72-e8846662d41c,2025-07-05 21:27:06,CUST34192,email,"I ordered during your sale and was quoted one price, but my card was charged the regular price.",I've applied a $10 goodwill credit to your account for the inconvenience. It'll appear automatically at your next checkout.,Electric Toothbrush,282.91,South Africa,open
57bdf8b3-9990-46f0-b2d6-444aa4432680,2024-03-27 21:31:04,CUST30564,chat,"I ordered during your sale and was quoted one price, but my card was charged the regular price.",I've looked into the duplicate charge and confirmed the extra amount will be reversed within 3–5 business days.,Electric Toothbrush,80.01,Canada,open
da124ecb-4a2a-4f45-9766-1b118fba18c0,2026-04-17 06:31:47,CUST49696,chat,The box arrived completely crushed. The item inside might be okay but I'm worried.,,Coffee Maker,84.89,Canada,resolved
7de3a021-561c-4603-9a88-da1021fbd5a2,2025-10-17 19:15:51,CUST91669,web,The refund you promised two weeks ago still hasn't appeared in my account. When will it post?,,Coffee Maker,66.13,Spain,resolved
b84f9e66-b4c4-4811-b075-26918e234ec2,2025-02-18 11:57:50,CUST51462,email,I see a charge from your company on my card that I don't recognize. I didn't place any order recently.,,Laptop Stand,436.55,Germany,resolved
65eb8d5e-906d-479c-a3fd-7cb167e46b37,2026-02-27 15:02:38,CUST93252,email,The tracking number you sent me doesn't work on the carrier's website. Can you tell me where my package actually is?,,Phone Case,440.57,Mexico,resolved
